state_name,state_fips,technology,file_id,file_name,download_link
Kansas,20,Cable,1582416,bdc_20_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582416/1
Kentucky,21,Cable,1582417,bdc_21_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582417/1
Louisiana,22,Cable,1582418,bdc_22_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582418/1
Maine,23,Cable,1582419,bdc_23_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582419/1
Maryland,24,Cable,1582420,bdc_24_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582420/1
Massachusetts,25,Cable,1582421,bdc_25_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582421/1
Michigan,26,Cable,1582422,bdc_26_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582422/1
Minnesota,27,Cable,1582423,bdc_27_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582423/1
Mississippi,28,Cable,1582424,bdc_28_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582424/1
Missouri,29,Cable,1582425,bdc_29_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582425/1
Montana,30,Cable,1582426,bdc_30_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582426/1
Nebraska,31,Cable,1582427,bdc_31_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582427/1
Nevada,32,Cable,1582428,bdc_32_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582428/1
New Hampshire,33,Cable,1582429,bdc_33_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582429/1
New Jersey,34,Cable,1582430,bdc_34_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582430/1
New Mexico,35,Cable,1582431,bdc_35_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582431/1
New York,36,Cable,1582432,bdc_36_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582432/1
North Carolina,37,Cable,1582433,bdc_37_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582433/1
North Dakota,38,Cable,1582434,bdc_38_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582434/1
Ohio,39,Cable,1582435,bdc_39_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582435/1
Oklahoma,40,Cable,1582436,bdc_40_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582436/1
Oregon,41,Cable,1582437,bdc_41_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582437/1
Pennsylvania,42,Cable,1582438,bdc_42_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582438/1
Puerto Rico,72,Cable,1582454,bdc_72_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582454/1
Rhode Island,44,Cable,1582439,bdc_44_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582439/1
South Carolina,45,Cable,1582440,bdc_45_Cable_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582440/1
